id,subject_id,subject_name,source_type,difficulty,points,question_type,question_text,option_1,option_2,option_3,option_4,option_5,correct_answer,created_date
521,3,고액현금거래·의심거래보고,A,중상,5,concept_definition,"특정금융정보법상 고액현금거래보고(CTR)의 기준 금액으로 옳은 것은?",3천만원 이상,5천만원 이상,1억원 이상,2천만원 이상,1천만원 이상,2,2025-01-17
522,3,고액현금거래·의심거래보고,A,중상,5,regulation_application,"CTR 보고 시한으로 옳은 것은?",거래 발생일로부터 15일 이내,거래 발생일로부터 30일 이내,거래 발생일로부터 60일 이내,지체 없이,거래 발생일로부터 7일 이내,2,2025-01-17
523,3,고액현금거래·의심거래보고,A,중상,5,concept_definition,"의심거래보고(STR)의 보고 시한으로 옳은 것은?",거래 발생일로부터 30일 이내,거래 발생일로부터 15일 이내,지체 없이,거래 발생일로부터 7일 이내,거래 발생일로부터 60일 이내,3,2025-01-17
524,3,고액현금거래·의심거래보고,A,중상,10,situation_judgment,"CTR 보고 대상에서 면제되는 거래로 옳은 것은?",개인고객과의 6천만원 현금 거래,다른 금융회사등과의 현금등의 지급 또는 영수,법인고객과의 8천만원 현금 거래,외국인과의 5천만원 현금 거래,현금 인출기를 통한 7천만원 인출,2,2025-01-17
525,3,고액현금거래·의심거래보고,A,중상,10,practical_application,"STR 보고 시 정보 누설 금지(Tipping Off) 원칙으로 옳은 것은?",고객에게 보고 사실을 반드시 통지해야 함,고객 동의를 받은 경우에만 보고 가능,보고 사실을 고객 등에게 누설해서는 안됨,보고 후 고객에게 결과를 통보해야 함,변호사를 통해서만 보고 가능,3,2025-01-17
526,3,고액현금거래·의심거래보고,A,중상,10,regulatory_knowledge,"가상자산사업자(VASP)의 고객확인(CDD) 의무 발생 기준 금액으로 옳은 것은?",50만원 초과,100만원 초과,150만원 초과,300만원 초과,500만원 초과,2,2025-01-17
527,3,고액현금거래·의심거래보고,A,중상,5,basic_concept,"카지노사업자의 고객확인(CDD) 의무 발생 기준 금액으로 옳은 것은?",100만원 초과,200만원 초과,300만원 초과,500만원 초과,1000만원 초과,3,2025-01-17
528,3,고액현금거래·의심거래보고,A,중상,10,situation_analysis,"STR 보고의 '의심되는 합당한 근거'에 대한 설명으로 옳은 것은?",자금세탁 범죄로 확신할 수 있어야 보고,단순한 추측이나 의혹만으로도 보고 가능,의심되는 합당한 근거가 있으면 보고 의무 발생,고객의 동의가 있어야만 보고 가능,법원의 영장이 있어야 보고 가능,3,2025-01-17
529,3,고액현금거래·의심거래보고,A,중상,15,complex_situation,"고객확인(CDD) 과정에서 의심거래 보고 사실이 누설될 우려가 있는 경우의 적절한 조치는?",CDD를 먼저 완료한 후 STR 보고,CDD와 STR을 동시에 진행,CDD를 생략하고 STR을 먼저 보고,STR 보고를 포기하고 CDD만 진행,고객에게 상황을 설명한 후 진행,3,2025-01-17
530,3,고액현금거래·의심거래보고,A,중상,10,exemption_conditions,"CTR 보고 면제 대상으로 옳지 않은 것은?",국가와의 현금등의 지급 또는 영수,지방자치단체와의 현금등의 지급 또는 영수,다른 금융회사등과의 현금등의 지급 또는 영수,대통령령으로 정하는 공공단체와의 현금등의 지급 또는 영수,외국인과의 현금등의 지급 또는 영수,5,2025-01-17
531,3,고액현금거래·의심거래보고,A,중상,15,advanced_judgment,"가상자산 관련 의심거래 지표로 적절하지 않은 것은?",익명성 강화 기술(믹서, 텅블러) 사용,법규정이 취약한 국가와의 거래,논리적 사업 설명이 불가한 대규모 거래,정상적인 투자 목적의 정기적 소액 거래,자금 출처가 불분명한 경우,4,2025-01-17
532,3,고액현금거래·의심거래보고,A,중상,10,procedural_knowledge,"FIU(금융정보분석원)의 주요 기능으로 옳지 않은 것은?",의심거래 보고 수취 및 분석,분석 결과를 법집행기관에 제공,금융회사등에 대한 직접 제재 부과,관련 자료의 열람 및 복사,특정금융거래정보의 제공,3,2025-01-17
533,3,고액현금거래·의심거래보고,A,중상,15,integrated_analysis,"STR 보고와 관련하여 면책 조항이 적용되지 않는 경우는?",성실한 보고 의무 이행,합당한 근거에 기반한 보고,고의 또는 중대한 과실로 인한 거짓 보고,불충분한 정보에 기반한 보고,과도한 주의에 의한 보고,3,2025-01-17
534,3,고액현금거래·의심거래보고,A,중상,10,risk_identification,"자금세탁의 3단계 중 '예치(Placement)' 단계의 특징으로 옳은 것은?",불법자금을 합법적 자산으로 위장하는 단계,복잡한 금융거래를 통해 자금 출처를 은닉하는 단계,불법 자금을 금융시스템에 최초로 유입시키는 단계,세탁된 자금을 최종적으로 회수하는 단계,자금의 진짜 소유주를 숨기는 단계,3,2025-01-17
535,3,고액현금거래·의심거래보고,A,중상,10,compliance_procedure,"금융회사등이 고객확인을 할 수 없거나 고객이 자금세탁 위험성이 높다고 판단되는 경우의 조치로 옳지 않은 것은?",해당 고객과의 신규 거래 거절,이미 수립된 거래관계 종료,해당 고객에 대한 STR 여부 검토,고객에게 위험성이 높다는 사실 통지,강화된 고객확인(EDD) 적용 검토,4,2025-01-17
536,3,고액현금거래·의심거래보고,A,중상,15,technical_distinction,"CTR과 STR의 차이점에 대한 설명으로 옳은 것은?",CTR은 주관적 판단, STR은 객관적 기준,CTR은 특정 금액 이상 현금거래의 객관적 보고, STR은 의심거래의 주관적 보고,CTR과 STR 모두 동일한 보고 기준 적용,CTR은 임의 보고, STR은 의무 보고,CTR과 STR 모두 고객 동의 필요,2,2025-01-17
537,3,고액현금거래·의심거래보고,A,중상,10,international_standard,"FATF 권고사항 중 의심거래보고(STR)와 관련된 권고 번호는?",권고 10번,권고 15번,권고 20번,권고 25번,권고 32번,3,2025-01-17
538,3,고액현금거래·의심거래보고,A,중상,15,comprehensive_application,"CTR 보고를 회피할 목적으로 금액을 분할하여 거래하는 경우에 대한 설명으로 옳은 것은?",CTR 보고 의무가 면제됨,STR 보고 대상이 될 수 있음,고객에게 경고 후 거래 진행,일반적인 거래로 간주하여 특별 조치 불필요,CTR과 STR 모두 보고 불필요,2,2025-01-17
539,3,고액현금거래·의심거래보고,A,중상,10,regulatory_scope,"특정 비금융 사업자(DNFBP)에 포함되는 업종으로 옳지 않은 것은?",변호사,회계사,부동산 중개인,카지노,일반 제조업체,5,2025-01-17
540,3,고액현금거래·의심거래보고,A,중상,15,risk_management,"가상자산 거래의 익명성 위험 방지를 위해 FIU가 확보해야 하는 정보로 옳은 것은?",고객의 투자 성향 정보만,가상자산 주소와 관련된 정보로 소유자 확인,거래소의 영업 실적 정보,가상자산의 시세 변동 정보,고객의 신용등급 정보,2,2025-01-17

explanations.csv

question_id,correct_reason,wrong_reason_1,wrong_reason_2,wrong_reason_3,wrong_reason_4,key_point,reference,learning_objective
521,"특정금융정보법상 CTR 보고 기준 금액은 5천만원 이상으로 대통령령으로 정해진 금액","3천만원은 잘못된 기준","1억원은 너무 높은 기준","2천만원은 과거 기준이나 현재는 다름","1천만원은 CDD 기준과 혼동","CTR 보고 기준 금액의 정확한 이해","특정금융정보법 제4조의2","고액현금거래보고의 기본 기준 숙지"
522,"CTR은 거래 발생일로부터 30일 이내에 보고해야 함","15일은 너무 짧은 기간","60일은 너무 긴 기간","지체 없이는 STR의 보고 시한","7일은 너무 짧은 기간","CTR 보고 시한의 정확한 이해","특정금융정보법 시행령","고액현금거래보고의 절차적 요건 이해"
523,"STR은 의심되는 합당한 근거를 알게 된 경우 지체 없이 보고해야 함","30일은 CTR의 보고 시한","15일은 명시된 STR 시한이 아님","7일은 명시된 STR 시한이 아님","60일은 너무 긴 기간","STR 보고 시한의 즉시성","특정금융정보법 제4조","의심거래보고의 신속성 원칙 이해"
524,"다른 금융회사등과의 현금등의 지급 또는 영수는 CTR 보고 대상에서 면제됨","개인고객과의 거래는 보고 대상","법인고객과의 거래는 보고 대상","외국인과의 거래도 보고 대상","ATM 인출도 보고 대상","CTR 보고 면제 사유의 정확한 이해","특정금융정보법 제4조의2","고액현금거래보고의 예외 규정 숙지"
525,"STR 보고 사실을 고객 등에게 누설하는 것은 Tipping Off로 금지됨","고객 통지는 금지 행위","고객 동의와 무관하게 보고 의무 존재","보고 사실 누설은 금지","결과 통보도 금지 행위","정보 누설 금지 원칙의 이해","특정금융정보법 제4조","의심거래보고의 보안 유지 원칙"
526,"가상자산사업자는 100만원 초과 거래 시 CDD 의무 발생","50만원은 낮은 기준","150만원은 높은 기준","300만원은 카지노 기준","500만원은 너무 높은 기준","VASP CDD 기준 금액의 정확한 이해","FATF 권고 및 특금법","가상자산 거래의 고객확인 기준"
527,"카지노사업자는 300만원 초과 거래 시 CDD 의무 발생","100만원은 VASP 기준","200만원은 부정확한 기준","500만원은 높은 기준","1000만원은 일반 CDD 기준","카지노 CDD 기준 금액의 정확한 이해","특정금융정보법 시행령","카지노업의 특별 CDD 기준"
528,"STR은 의심되는 합당한 근거가 있으면 보고 의무가 발생하며 확신 불필요","확신까지는 불필요","단순 추측만으로는 부족","합당한 근거가 핵심 요건","고객 동의는 불필요","의심거래 보고의 판단 기준","특정금융정보법 제4조","의심거래 보고의 합리적 근거 요건"
529,"CDD 과정에서 STR 보고 사실이 누설될 우려가 있으면 CDD를 생략하고 STR을 먼저 보고","CDD 우선은 누설 위험 증가","동시 진행도 누설 위험","STR 포기는 법적 의무 위반","고객 설명은 Tipping Off 위반","CDD와 STR의 우선순위 판단","특정금융정보법 시행령","의심거래 보고와 고객확인의 관계"
530,"외국인과의 현금거래는 CTR 보고 면제 대상이 아님","국가는 면제 대상","지자체는 면제 대상","다른 금융회사는 면제 대상","공공단체는 면제 대상","CTR 면제 대상의 정확한 범위","특정금융정보법 제4조의2","고액현금거래보고 면제 규정의 한계"
531,"정상적인 투자 목적의 정기적 소액 거래는 의심거래 지표가 아님","익명성 강화 기술은 의심 지표","취약국 거래는 의심 지표","설명 불가 대규모 거래는 의심 지표","불분명한 자금 출처는 의심 지표","가상자산 의심거래 지표의 구분","FATF 가상자산 가이드","가상자산 관련 정상거래와 의심거래 구분"
532,"FIU는 분석 및 정보 제공 기관으로 직접 제재 권한은 없음","의심거래 수취·분석은 주요 기능","법집행기관 정보 제공은 주요 기능","자료 열람·복사는 주요 기능","특정금융거래정보 제공은 주요 기능","FIU의 역할과 권한의 한계","특정금융정보법 제3조","금융정보분석원의 기능적 특성 이해"
533,"고의 또는 중대한 과실로 인한 거짓 보고 시에는 면책 조항이 적용되지 않음","성실한 보고는 면책 대상","합당한 근거 기반 보고는 면책 대상","불충분한 정보라도 성실 보고면 면책","과도한 주의도 면책 대상","STR 보고 면책 조항의 예외","특정금융정보법 제4조","의심거래보고의 면책 범위와 한계"
534,"예치 단계는 불법자금을 금융시스템에 최초로 유입시키는 단계","합법적 위장은 합법화 단계","출처 은닉은 은폐 단계","최종 회수는 합법화 단계","소유주 숨기기는 은폐 단계","자금세탁 3단계의 정확한 이해","AML 기본 이론","자금세탁 과정의 체계적 분석"
535,"고객에게 위험성이 높다는 사실을 통지하는 것은 Tipping Off에 해당","신규 거래 거절은 적절한 조치","거래관계 종료는 적절한 조치","STR 검토는 적절한 조치","EDD 적용은 적절한 조치","고위험 고객 관리 시 금지 행위","특정금융정보법 시행령","고위험 고객 대응 시 주의사항"
536,"CTR은 객관적 기준에 의한 보고, STR은 주관적 의심에 기반한 보고","CTR이 객관적, STR이 주관적이 정확","동일 기준 적용은 틀림","CTR이 주관적이라는 것은 틀림","고객 동의는 둘 다 불필요","CTR과 STR의 본질적 차이점","특정금융정보법 제4조, 제4조의2","두 보고제도의 구별과 특성 이해"
537,"FATF 권고 20번이 의심거래보고(STR)와 관련된 권고","권고 10번은 고객확인 관련","권고 15번은 다른 내용","권고 25번은 다른 내용","권고 32번은 현금수송업 관련","FATF 권고사항의 체계적 이해","FATF 40개 권고사항","국제 AML 기준에서 STR의 위치"
538,"CTR 회피 목적의 분할 거래는 그 자체로 의심거래가 되어 STR 보고 대상","CTR 면제는 되지 않음","회피 행위 자체가 의심거래","경고는 Tipping Off 위험","특별 조치 불필요는 틀림","구조화된 거래의 STR 대상성","특정금융정보법 제4조","CTR 회피 행위의 의심거래 해당성"
539,"일반 제조업체는 DNFBP에 포함되지 않음","변호사는 DNFBP","회계사는 DNFBP","부동산 중개인은 DNFBP","카지노는 DNFBP","DNFBP 범위의 정확한 이해","FATF 권고사항","특정 비금융 사업자의 AML 의무 범위"
540,"FIU는 가상자산 주소와 관련된 정보를 확보하여 소유자를 확인할 수 있어야 함","투자 성향만으로는 불충분","영업 실적 정보는 무관","시세 변동 정보는 무관","신용등급 정보는 무관","가상자산 익명성 위험 대응 방안","FATF 가상자산 가이드","가상자산 거래의 투명성 확보 방안"
