id,subject_id,subject_name,source_type,difficulty,points,question_type,question_text,option_1,option_2,option_3,option_4,option_5,correct_answer,created_date
581,3,고액현금거래·의심거래보고,B,중상,5,basic_standard,"특정금융정보법상 고액현금거래 보고(CTR)의 기준 금액으로 옳은 것은?",5천만원 이상,2천만원 이상,1천만원 이상,3천만원 이상,1억원 이상,3,2025-01-17
582,3,고액현금거래·의심거래보고,B,중상,5,time_requirement,"CTR 보고 시한으로 옳은 것은?",거래 발생일로부터 15일 이내,거래 발생일로부터 30일 이내,거래 발생일로부터 60일 이내,지체 없이,거래 발생일로부터 7일 이내,2,2025-01-17
583,3,고액현금거래·의심거래보고,B,중상,10,sectoral_difference,"카지노사업자의 CTR 보고 기준이 일반 금융회사와 다른 점으로 옳은 것은?",동일인 명의로 1거래일 동안의 합산 기준,거래 1건당을 기준으로 산정,보고 기준 금액이 500만원,보고 시한이 15일 이내,외국통화도 포함하여 계산,2,2025-01-17
584,3,고액현금거래·의심거래보고,B,중상,10,exemption_rules,"CTR 보고 대상 합산에서 제외되는 금액으로 옳지 않은 것은?",100만원 이하의 원화 송금 금액,100만원 이하에 상당하는 외국통화의 매입·매각 금액,100만원 이하의 선불카드 거래금액,200만원 이하의 법원 공탁금,금융정보분석원장이 정하는 공과금 수납 금액,4,2025-01-17
585,3,고액현금거래·의심거래보고,B,중상,10,practical_case,"카지노사업자가 권면액 100만원 초과 수표에 대해 실지명의를 확인하고 수표번호를 기록·관리하는 경우의 CTR 보고 의무는?",현금으로 간주되어 반드시 보고해야 함,현금으로 간주되지 않아 보고 의무 없음,별도의 수표거래보고 필요,고객 동의시에만 보고,금융정보분석원장 승인 후 보고,2,2025-01-17
586,3,고액현금거래·의심거래보고,B,중상,15,complex_judgment,"STR 보고에서 '합당한 의심'의 기준에 대한 설명으로 옳은 것은?",불법 행위임이 확신되어야만 보고 의무 발생,객관적 징후와 금융회사 직원의 주관적 판단이 결합된 합당한 근거 필요,단순한 추측이나 의혹만으로도 보고 가능,고객의 동의가 있어야만 보고 가능,법원의 영장이 있어야 보고 가능,2,2025-01-17
587,3,고액현금거래·의심거래보고,B,중상,10,reporting_procedure,"STR 보고 시한으로 옳은 것은?",의심되는 사실을 인지한 경우 지체 없이,거래 발생일로부터 30일 이내,거래 발생일로부터 15일 이내,거래 발생일로부터 7일 이내,매월 말일까지 일괄 보고,1,2025-01-17
588,3,고액현금거래·의심거래보고,B,중상,15,confidentiality_rules,"STR 보고 사실의 누설 금지 원칙에서 예외로 인정되는 경우로 옳지 않은 것은?",같은 금융회사등 내부에서 자금세탁방지를 위해 보고 사실을 제공하는 경우,외국 금융정보분석기구에 해당 외국 법령에 따라 보고하는 경우,내부감사인이 독립적 감사 수행을 위해 관련 정보를 열람하는 경우,외국은행 지점이 본점 및 지역본부에 STR 정보를 공유하는 경우,금융정보분석원이 법집행기관에 분석 결과를 제공하는 경우,4,2025-01-17
589,3,고액현금거래·의심거래보고,B,중상,10,data_retention,"금융회사등의 자료 보존 기간과 대상으로 옳은 것은?",금융거래관계 종료 후 3년 이상, 고객확인기록만 보존,금융거래관계 종료 후 5년 이상, 고객확인기록과 금융거래기록 및 보고서 보존,금융거래관계 종료 후 7년 이상, 의심거래보고서만 보존,금융거래관계 종료 후 10년 이상, 모든 거래 기록 보존,영구 보존, 고액현금거래보고서만 보존,2,2025-01-17
590,3,고액현금거래·의심거래보고,B,중상,15,institutional_analysis,"FIU의 STR 관련 역할과 권한으로 옳지 않은 것은?",보고받은 사항을 분석하기 위해 관련 자료 열람 및 복사,범죄 관련 자금 흐름을 분석하여 범죄 사례 유형화 후 금융회사에 제공,STR 보고 모범 사례 공유 및 보고 결과 피드백 확대,금융회사등에 대한 직접적인 제재 조치 부과,법집행기관과의 협력·소통 강화,4,2025-01-17
591,3,고액현금거래·의심거래보고,B,중상,10,liability_exemption,"STR 보고와 관련한 면책 조항이 적용되지 않는 경우는?",합당한 근거에 기반한 성실한 보고,불충분한 정보에 기반하였으나 선의의 보고,고의 또는 중대한 과실로 인한 거짓 보고,과도한 주의에 의한 보고,객관적 징후에 기반한 보고,3,2025-01-17
592,3,고액현금거래·의심거래보고,B,중상,15,case_analysis,"보험회사가 보험사기 등 범죄 사실을 인지하여 수사기관에 신고한 경우, 보험금 지급 면책이나 회사에 금전적 손해가 없더라도 STR 보고가 필요한 이유는?",특정금융정보법 제4조제1항제3호에 따른 의무,보험업법상 의무 사항,금융감독원 지시 사항,고객과의 계약 조건,회사 내부 규정,1,2025-01-17
593,3,고액현금거래·의심거래보고,B,중상,10,practical_application,"보험회사가 단체보험의 미경과 보험료를 보험계약자의 채권자에게 현금 1천만원 이상 지급하는 경우의 CTR 보고 의무는?",보고 대상이 아님 (보험금 지급은 금융거래가 아니므로),보고 대상임 (금융회사등이 금융거래 상대방에게 현금을 지급하는 행위),보고 대상 여부를 고객이 선택,금융감독원 승인 후 보고,보험계약자 동의시에만 보고,2,2025-01-17
594,3,고액현금거래·의심거래보고,B,중상,15,regulatory_compliance,"영업점 직원이 작성한 STR 보고서의 '의심거래로 판단한 사유' 항목을 외부 기관에 특이유형거래보고서 형식으로 송부하는 것이 문제가 되는 이유는?",보고서 양식이 달라서,특금법상 누설 금지 의무 위반에 해당,보고 시한을 초과하여,보고 대상이 아닌 거래이므로,금융정보분석원 사전 승인 없이,2,2025-01-17
595,3,고액현금거래·의심거래보고,B,중상,10,system_requirements,"가상자산사업자(VASP)의 자금세탁방지 의무로 옳지 않은 것은?",고객별 거래내역 분리 관리,예치금과 고유재산 분리 관리,고객확인 미완료 고객 거래 제한,미신고 VASP와의 영업 목적 거래 금지,모든 가상자산 거래에 대한 사전 신고,5,2025-01-17
596,3,고액현금거래·의심거래보고,B,중상,15,complex_scenario,"외국의 정치적 주요인물(PEPs)과 관련된 거래에서 요구되는 조치로 옳지 않은 것은?",강화된 고객확인(EDD) 실시,고위 경영진 승인 필요,재산 및 자금의 원천 파악,거래 즉시 중단 및 신고,지속적인 거래 모니터링 강화,4,2025-01-17
597,3,고액현금거래·의심거래보고,B,중상,10,internal_control,"금융회사등의 STR 내부 보고체계로 적절한 것은?",직원 → 담당 책임자 → 보고 책임자 → 금융정보분석원,직원 → 금융정보분석원 직접 보고,담당 책임자 → 금융감독원 → 금융정보분석원,보고 책임자 → 경영진 승인 → 금융정보분석원,모든 직원이 개별적으로 금융정보분석원에 직접 보고,1,2025-01-17
598,3,고액현금거래·의심거래보고,B,중상,15,legal_interpretation,"변호사나 세무사가 고객 관련 불법 재산 의심 시 금융정보분석원에 신고 의무가 없는 이유는?",변호사-고객 간 비밀유지 특권,현행법상 '금융회사등'에 포함되지 않음,업무 특성상 면제,별도 신고 체계 존재,자율 신고 원칙 적용,2,2025-01-17
599,3,고액현금거래·의심거래보고,B,중상,10,reporting_method,"CTR 및 STR 보고 방법으로 옳은 것은?",온라인 보고가 원칙이며, 필요시 문서나 전자기록매체 활용 가능,반드시 문서로만 보고,반드시 온라인으로만 보고,팩스나 전화로도 보고 가능,우편으로만 보고,1,2025-01-17
600,3,고액현금거래·의심거래보고,B,중상,15,systematic_understanding,"2025년 중 '의심거래 참고유형' 개정서에 포함될 예정인 신종 지급결제수단 관련 자금세탁 사례로 언급된 것은?",가상계좌 및 간편송금 등을 이용한 자금세탁,암호화폐 마이닝을 통한 자금세탁,해외 부동산 투자를 통한 자금세탁,예술품 거래를 통한 자금세탁,주식 거래를 통한 자금세탁,1,2025-01-17

explanations.csv

question_id,correct_reason,wrong_reason_1,wrong_reason_2,wrong_reason_3,wrong_reason_4,key_point,reference,learning_objective
581,"특정금융정보법상 CTR 보고 기준 금액은 1천만원 이상으로 대통령령으로 정해진 금액","5천만원은 잘못된 기준","2천만원은 과거 기준과 혼동","3천만원은 잘못된 기준","1억원은 너무 높은 기준","CTR 보고 기준 금액의 정확한 이해","특정금융정보법 시행령","고액현금거래보고의 기본 기준 숙지"
582,"CTR은 거래 발생일로부터 30일 이내에 보고해야 함","15일은 너무 짧은 기간","60일은 너무 긴 기간","지체 없이는 STR의 보고 시한","7일은 너무 짧은 기간","CTR 보고 시한의 정확한 이해","특정금융정보법 시행령","고액현금거래보고의 절차적 요건 이해"
583,"카지노사업자는 거래 1건당을 기준으로 CTR을 산정하여 일반 금융회사의 합산 기준과 다름","동일인 합산은 일반 금융회사 기준","보고 기준 금액은 동일하게 1천만원","보고 시한도 동일하게 30일","외국통화는 일반적으로 제외","카지노사업자 CTR 기준의 특수성","특정금융정보법 시행령","업권별 CTR 적용 기준의 차이점 이해"
584,"200만원 이하의 법원 공탁금은 합산 제외 기준에 없음. 법원 공탁금 자체가 제외 대상이지 금액 기준이 아님","100만원 이하 원화 송금은 제외 대상","100만원 이하 외화 거래는 제외 대상","100만원 이하 선불카드는 제외 대상","공과금 수납은 제외 대상","CTR 합산 제외 기준의 정확한 이해","특정금융정보법 시행령","고액현금거래 합산 예외 규정 숙지"
585,"카지노사업자가 100만원 초과 수표에 대해 실지명의 확인 및 수표번호 기록·관리 시에는 현금으로 간주되지 않아 보고 의무 없음","실명확인 등 조치가 있어도 무조건 보고는 틀림","수표거래보고는 별도 규정 없음","고객 동의는 보고 요건 아님","FIU 승인은 불필요","카지노 수표 거래의 예외 조건","특정금융정보법 시행령","카지노업 특수 거래의 보고 예외 이해"
586,"STR은 객관적 징후와 금융회사 직원의 주관적 판단이 결합된 합당한 근거가 있으면 보고 의무 발생","확신까지는 불필요하며 의심 수준으로 충분","단순 추측만으로는 합당한 근거 부족","고객 동의는 STR 요건 아님","법원 영장은 STR 요건 아님","STR 보고의 '합당한 의심' 기준","특정금융정보법 제4조","의심거래 보고의 판단 기준과 근거"
587,"STR은 의심되는 사실을 인지한 경우 지체 없이 보고해야 함","30일은 CTR의 보고 시한","15일은 명시된 STR 시한 아님","7일은 명시된 STR 시한 아님","월말 일괄 보고는 지체 없이 원칙에 반함","STR 보고의 즉시성 원칙","특정금융정보법 제4조","의심거래보고의 신속성 요구사항"
588,"외국은행 지점의 경우 본점 및 지역본부는 특금법상 '동일 금융회사 내부'로 간주되지 않아 STR 정보 공유 불가","동일 금융회사 내부 공유는 예외","외국 FIU 보고는 예외","내부감사인 열람은 예외","FIU의 법집행기관 제공은 정상 업무","STR 정보 공유의 엄격한 제한","특정금융정보법 제4조","의심거래 정보의 누설 금지 예외 범위"
589,"금융거래관계 종료 후 5년 이상 고객확인기록, 금융거래기록, 보고서 등을 보존해야 함","3년은 너무 짧은 기간","보존 대상은 포괄적으로 규정","7년은 규정된 기간 아님","10년은 너무 긴 기간","자료 보존 의무의 정확한 기간과 범위","특정금융정보법 시행령","AML 관련 자료의 체계적 보존 관리"
590,"FIU는 분석 및 정보 제공 기관으로 금융회사등에 대한 직접적인 제재 권한은 없음","자료 열람·복사는 FIU 권한","범죄 사례 유형화는 FIU 역할","모범 사례 공유는 FIU 역할","법집행기관 협력은 FIU 역할","FIU의 역할과 권한의 한계","특정금융정보법 제3조","금융정보분석원의 기능적 특성과 제약"
591,"고의 또는 중대한 과실로 인한 거짓 보고 시에는 면책 조항이 적용되지 않음","합당한 근거 기반 보고는 면책","선의의 불충분한 정보도 면책","과도한 주의도 면책 대상","객관적 징후 기반도 면책","STR 보고 면책의 예외 조건","특정금융정보법 제4조","의심거래보고의 면책 범위와 한계"
592,"특정금융정보법 제4조제1항제3호에 따라 수사기관 신고 시 STR 보고 의무 발생","보험업법상 의무는 별개","금융감독원 지시는 STR 근거 아님","계약 조건은 STR 근거 아님","내부 규정은 법적 근거 아님","수사기관 신고와 STR 보고의 연관성","특정금융정보법 제4조","범죄 신고 시 자동적 STR 의무 이해"
593,"보험회사가 채권자에게 현금을 지급하는 것은 금융회사등이 금융거래 상대방에게 현금을 지급하는 행위로 CTR 대상","보험금 지급도 금융거래에 해당","고객 선택은 보고 의무와 무관","금감원 승인은 불필요","보험계약자 동의는 보고 요건 아님","보험 관련 현금 지급의 CTR 대상성","특정금융정보법 시행령","보험업무에서 CTR 적용 범위 이해"
594,"STR 보고서의 의심거래 판단 사유를 외부에 송부하는 것은 특금법상 누설 금지 의무 위반","보고서 양식은 누설과 별개 문제","보고 시한과는 무관한 문제","보고 대상 여부와는 별개","FIU 승인은 누설 금지와 별개","STR 정보의 외부 유출 금지","특정금융정보법 제4조","의심거래 정보의 보안 유지 의무"
595,"모든 가상자산 거래에 대한 사전 신고는 VASP 의무가 아님","고객별 거래내역 분리는 의무","예치금 분리 관리는 의무","미완료 고객 거래 제한은 의무","미신고 VASP 거래 금지는 의무","VASP의 실제 자금세탁방지 의무 범위","특정금융정보법 VASP 관련 조항","가상자산사업자의 구체적 AML 의무"
596,"PEPs 관련 거래에서 즉시 중단은 과도한 조치이며, 강화된 관리가 원칙","EDD 실시는 필요한 조치","고위 경영진 승인은 필요","자금 원천 파악은 필요","지속적 모니터링은 필요","PEPs 거래의 적절한 관리 수준","FATF 권고 및 특금법","정치적 주요인물 거래의 균형적 대응"
597,"STR 내부 보고는 직원→담당 책임자→보고 책임자→FIU 순서가 적절","직원이 FIU 직접 보고는 부적절","금감원 경유는 불필요","경영진 승인은 필수 아님","개별 직접 보고는 비효율적","STR 내부 보고 체계의 적정 구조","특정금융정보법 시행령","의심거래 보고의 조직적 관리 체계"
598,"변호사·세무사는 현행법상 '금융회사등'에 포함되지 않아 STR 의무 없음","비밀유지 특권과는 별개 문제","업무 특성 면제는 법적 근거 없음","별도 신고 체계는 존재하지 않음","자율 신고는 의무와 다른 개념","STR 의무 주체의 법적 한계","특정금융정보법 제2조","금융회사등 정의의 정확한 범위"
599,"CTR 및 STR은 온라인 보고가 원칙이며, 필요시 문서나 전자기록매체도 활용 가능","문서만으로는 효율성 부족","온라인만으로는 첨부서류 한계","팩스·전화는 공식 보고 방법 아님","우편만으로는 신속성 부족","보고 방법의 다양성과 원칙","특정금융정보법 시행령","효율적 보고 방법의 선택과 활용"
600,"2025년 개정 예정인 신종 지급결제수단 관련 사례로 가상계좌 및 간편송금 등이 언급됨","암호화폐 마이닝은 언급되지 않음","부동산 투자는 언급되지 않음","예술품 거래는 언급되지 않음","주식 거래는 언급되지 않음","신종 결제 수단의 자금세탁 위험","의심거래 참고유형 개정 동향","새로운 금융 기술의 AML 리스크 인식"
