id,subject_id,subject_name,source_type,difficulty,points,question_type,question_text,option_1,option_2,option_3,option_4,option_5,correct_answer,created_date
581,3,고액현금거래·의심거래보고,C,상,15,multi_regulation,"복합 금융그룹에서 은행 계좌 → 보험사 일시납 → 증권사 위탁계좌 → 가상자산사업자로 이어지는 2일간 총 5천만원 자금 이동이 발견되었습니다. 각 단계별 거래는 개별적으로 1천만원 미만이나, 동일인의 연속적 패턴입니다. 가장 적절한 종합 대응 전략은?","각 금융회사별로 개별 CTR 기준 미달이므로 특별 조치 불필요","복합 자금세탁 의심으로 관련 모든 금융회사의 STR 보고 및 정보 공유","그룹 내부 거래이므로 정상적인 자산 이동으로 간주","고객 투자 다각화 목적으로 판단하여 포트폴리오 서비스 제안","주력 거래 금융회사에서만 STR 검토하고 나머지는 일반 모니터링",2,2025-01-17
582,3,고액현금거래·의심거래보고,C,상,10,risk_based_judgment,"AI 기반 거래 모니터링 시스템이 특정 고객을 '고위험'으로 분류했으나, 담당 직원이 검토 결과 해당 고객은 합법적 중고차 딜러로 확인했습니다. 다만 현금 거래 비중이 업계 평균보다 3배 높고, 거래 상대방이 자주 변경됩니다. 이 상황에서의 최적 판단은?","AI 시스템 오류로 간주하고 정상 고객으로 재분류","합법적 사업자이므로 일반 모니터링으로 하향 조정","업종 특성을 고려하되 현금 거래 패턴에 대한 지속적 강화 모니터링","중고차 업계 전반에 대한 위험도 재평가 실시","고객에게 현금 거래 사유 확인 및 개선 방안 협의",3,2025-01-17
583,3,고액현금거래·의심거래보고,C,상,15,practical_dilemma,"대형 건설사 임원이 회사 자금 30억원을 개인 계좌로 이체한 후, 24시간 내에 해외 부동산 투자 명목으로 싱가포르 은행에 송금했습니다. 법무팀 확인 결과 이사회 승인을 받은 정당한 해외 투자이나, 개인 계좌 경유 방식이 의심스럽습니다. 금융회사의 딜레마적 상황에서 최선의 대응은?","이사회 승인이 있으므로 정당한 거래로 처리","개인 계좌 경유가 비정상적이므로 STR 보고 및 추가 확인","법무팀 검토 완료로 충분하다고 판단","해외 송금 규정 위반 여부만 확인 후 처리","고객에게 직접 개인 계좌 경유 사유 문의",2,2025-01-17
584,3,고액현금거래·의심거래보고,C,상,10,priority_decision,"금요일 오후 5시에 다음 3건이 동시에 발생했습니다: ①고령자 명의 계좌에서 5천만원 해외 송금 ②미성년자 10명 계좌에서 각각 900만원 현금 인출 ③가상자산사업자가 익명성 코인으로 대량 거래. 담당자 1명이 처리해야 할 상황에서 우선순위는?","시간순 접수 순서대로 처리","금액이 가장 큰 ①번 사건 우선","즉시성이 요구되는 ②번 현금 인출 우선","복잡성을 고려하여 ③번 가상자산 거래 우선","고령자 보호 관점에서 ①번 우선 처리 후 ②번, ③번 순서",5,2025-01-17
585,3,고액현금거래·의심거래보고,C,상,15,regulatory_conflict,"국경간 가상자산 거래에서 한국의 트래블 룰(100만원 이상)과 거래 상대국의 기준(1만 달러 이상)이 상이한 경우, 150만원 상당의 거래에 대한 올바른 대응은?","거래 상대국 기준을 우선 적용하여 정보 제공 생략","한국 기준을 엄격 적용하여 정보 제공 의무 이행","두 국가 기준의 평균값을 적용하여 타협적 처리","국제 표준기구 권고사항을 우선 적용","거래 금액을 조정하여 두 기준 모두 회피",2,2025-01-17
586,3,고액현금거래·의심거래보고,C,상,10,technological_adaptation,"딥페이크 기술로 제작된 가짜 신분증을 이용한 계좌 개설 시도가 발견되었으나, 현재 금융회사의 신원확인 시스템으로는 탐지가 어려운 상황입니다. 즉시 취할 수 있는 현실적 대응 방안은?","딥페이크 탐지 전문 시스템 도입까지 계좌 개설 전면 중단","기존 신원확인 절차를 강화하고 추가 서류 요구","해당 시도를 STR 보고하고 수동 검증 절차 추가","전문 기관에 신분증 진위 여부 확인 의뢰","고객에게 직접 딥페이크 관련 문의",3,2025-01-17
587,3,고액현금거래·의심거래보고,C,상,15,cross_border_complexity,"북한 제재 대상자와 동명이인인 한국 거주 외국인이 대규모 현금 거래를 요청했습니다. 제재 리스트 확인 결과 별도 인물로 확인되나, 이름의 유사성과 현금 거래 규모가 우려됩니다. 국제 제재와 자금세탁 방지를 동시에 고려한 신중한 대응은?","제재 대상자가 아니므로 정상 거래 진행","동명이인 위험을 고려한 강화된 실사 및 STR 검토","제재 당국에 사전 문의 후 거래 여부 결정","거래 규모를 축소하여 위험 최소화","고객에게 상황 설명 후 거래 보류",2,2025-01-17
588,3,고액현금거래·의심거래보고,C,상,10,system_integration,"서로 다른 거래 모니터링 시스템을 사용하는 2개 은행이 합병하면서, 기존 STR 보고 기준과 프로세스가 상이해서 통합 과정에서 일시적 모니터링 공백이 발생할 우려가 있습니다. 합병 과도기의 리스크 관리 방안은?","더 엄격한 기준을 가진 시스템으로 일원화","통합 완료까지 기존 시스템 병행 운영","외부 전문업체에 임시 모니터링 위탁","수동 모니터링으로 일시 대체","합병 완료 후 소급 점검 실시",2,2025-01-17
589,3,고액현금거래·의심거래보고,C,상,15,stakeholder_management,"대형 상장기업 CEO가 개인적으로 거액의 현금 거래를 빈번히 하면서, 금융회사에 STR 보고로 인한 평판 리스크를 우려하며 거래 중단을 암시했습니다. 기업과의 관계와 법적 의무 사이에서의 최적 대응은?","기업 관계를 고려하여 STR 보고 기준 완화","평판 리스크를 고려한 내부 보고 수준에서 종료","법적 의무를 우선하되 CEO와 별도 면담을 통한 설명","STR 보고 후 기업 관계 관리팀과 협의","CEO 거래를 다른 금융회사로 이관 권유",3,2025-01-17
590,3,고액현금거래·의심거래보고,C,상,10,operational_resilience,"코로나19와 같은 팬데믹 상황에서 비대면 거래가 급증하면서 기존 대면 위주의 의심거래 탐지 체계의 한계가 드러났습니다. 비대면 환경에 적합한 STR 체계 개선 방안은?","기존 대면 기준을 비대면에 그대로 적용","비대면 거래의 디지털 흔적을 활용한 새로운 의심 징후 개발","비대면 거래는 위험도가 낮다고 가정하고 기준 완화","고객 영상통화를 통한 의심 징후 확인","비대면 거래 시 추가 서류 요구로 위험 보완",2,2025-01-17
591,3,고액현금거래·의심거래보고,C,상,15,ethical_considerations,"금융회사 임원의 가족이 의심거래 대상자로 식별되었으나, 해당 임원이 내부 정보를 이용하여 STR 보고를 회피하려고 시도하고 있습니다. 조직 내 이해상충과 윤리적 딜레마 상황에서의 원칙적 대응은?","임원 가족이므로 내부 조사로 대체","독립적인 외부 전문가에게 검토 위탁","해당 임원을 제외한 별도 팀에서 STR 검토","임원 권한을 고려하여 기준 완화 적용","즉시 규제당국에 신고 후 지시 대기",3,2025-01-17
592,3,고액현금거래·의심거래보고,C,상,10,customer_relationship,"20년간 거래해온 VIP 고객이 최근 거래 패턴이 급변하면서 STR 대상이 되었으나, 해당 고객이 금융회사에 상당한 수익을 제공하는 핵심 고객입니다. 고객 관계와 법적 의무의 균형점은?","20년 거래 이력을 고려한 STR 기준 완화","VIP 고객이므로 내부 검토로 대체","거래 관계와 무관하게 STR 보고 의무 이행","고객에게 패턴 변화 사유 확인 후 판단","수익성을 고려하여 STR 보고 연기",3,2025-01-17
593,3,고액현금거래·의심거래보고,C,상,15,regulatory_evolution,"중앙은행 디지털화폐(CBDC) 도입 시범사업에서 기존 현금과 디지털화폐가 혼재하는 과도기적 상황입니다. CBDC를 이용한 거래의 CTR/STR 적용 기준이 아직 명확하지 않은 상황에서의 선제적 대응 방안은?","기존 현금 거래 기준을 CBDC에 동일 적용","CBDC는 디지털 특성상 CTR 대상에서 제외","정부 가이드라인 확정까지 CBDC 거래 보류","보수적 접근으로 CBDC도 현금에 준하여 처리","CBDC 거래를 별도 카테고리로 분류하여 모니터링",4,2025-01-17
594,3,고액현금거래·의심거래보고,C,상,10,information_warfare,"국가기관으로부터 특정 고객의 거래 정보 제공 요청이 있었으나, 해당 기관의 권한과 요청 근거가 불분명하고, STR 보고와 별개의 정보 요구입니다. 정보 보호와 국가기관 협조 요청 사이에서의 대응은?","국가기관 요청이므로 즉시 정보 제공","STR 보고 외 별도 정보 제공은 거부","법적 근거 확인 후 제한적 정보 제공","고객 동의를 받은 후 정보 제공","상급 기관 또는 법무팀 검토 후 결정",5,2025-01-17
595,3,고액현금거래·의심거래보고,C,상,15,crisis_management,"금융회사의 STR 보고 시스템이 해킹당해 보고서 정보가 유출되면서, 보고 대상 고객들의 신변 안전 우려와 함께 Tipping Off 효과가 발생했습니다. 위기 상황에서의 종합적 대응 전략은?","해킹 사실 은폐하고 시스템 복구에만 집중","FIU와 관련 기관에 즉시 신고 후 고객 보호 조치","언론 대응을 위한 홍보팀 중심의 위기 관리","해킹 관련 수사기관 신고 후 법적 책임 회피","고객들에게 개별 통지하여 상황 설명",2,2025-01-17
596,3,고액현금거래·의심거래보고,C,상,10,competitive_intelligence,"경쟁 금융회사에서 이직한 직원이 이전 회사의 STR 보고 관련 정보를 언급하며 우리 회사의 모니터링 시스템 개선에 활용하자고 제안했습니다. 영업 기밀과 STR 정보 보호 관점에서의 대응은?","유용한 정보이므로 적극 활용","경쟁사 정보 취득으로 인한 법적 위험 회피","STR 관련 정보는 절대 활용 금지","해당 직원에게 정보 제공 중단 요구","자체 시스템 개선 능력 강화로 대체",3,2025-01-17
597,3,고액현금거래·의심거래보고,C,상,15,future_readiness,"인공지능과 블록체인 기술 발전으로 새로운 형태의 자금세탁 기법이 등장하고 있으나, 현재의 STR 체계로는 탐지가 어려운 상황입니다. 미래 지향적 STR 체계 구축을 위한 전략적 접근은?","기존 체계 유지하며 점진적 개선","AI와 블록체인 전문가 영입하여 신기술 대응팀 구성","외부 핀테크 기업과 협력하여 신기술 모니터링 시스템 개발","규제당국과 협력하여 신기술 대응 가이드라인 선제 개발","국제 금융기관과의 정보 공유 체계 강화",4,2025-01-17
598,3,고액현금거래·의심거래보고,C,상,10,social_responsibility,"대형 NGO 단체가 긴급 재해 구호를 위해 단기간에 거액의 후원금을 모금하여 해외 송금하려고 합니다. 정당한 목적이나 거액의 현금 흐름과 신속한 해외 송금이 의심거래 징후와 유사합니다. 사회적 책임과 AML 의무의 조화점은?","긴급 구호 목적이므로 신속 처리","NGO라도 일반 기준 적용하여 STR 검토","정부 기관 승인 여부 확인 후 처리","후원금 모금 과정의 투명성 확인 후 승인","언론 보도 등 공개적 모금 여부로 판단",2,2025-01-17
599,3,고액현금거래·의심거래보고,C,상,15,data_sovereignty,"국경간 STR 정보 공유 요청에서 상대국의 데이터 보호 법규가 우리나라보다 느슨하여 정보 오남용 우려가 있으나, 국제 공조 수사에 필요한 중요 정보입니다. 데이터 주권과 국제 협력의 균형점은?","데이터 보호를 위해 정보 공유 거부","국제 공조 우선으로 즉시 정보 제공","정보 이용 목적과 보호 조치 확약 후 제한적 제공","국제기구 중재 하에 정보 공유","상호주의 원칙에 따른 단계적 정보 교환",3,2025-01-17
600,3,고액현금거래·의심거래보고,C,상,10,organizational_learning,"STR 보고 후 실제 범죄로 입건되지 않은 사례가 지속적으로 발생하면서, 직원들이 STR 보고에 소극적이 되고 있습니다. 조직의 학습 문화와 적극적 보고 문화 정착을 위한 방안은?","STR 보고 기준을 더욱 엄격하게 조정","입건 결과와 무관한 STR 본래 목적 재교육","STR 보고 실적에 따른 인센티브 제도 도입","FIU와의 피드백 체계 강화로 보고 품질 향상","법적 면책 조항 강화를 통한 적극적 보고 유도",2,2025-01-17

question_id,correct_reason,wrong_reason_1,wrong_reason_2,wrong_reason_3,wrong_reason_4,key_point,reference,learning_objective
581,"복합 금융그룹 내 연속적 자금 이동은 단계적 자금세탁(Layering) 의심이므로 모든 관련 금융회사의 STR 보고 및 정보 공유 필요","개별 기준 미달이라도 전체적 패턴은 의심거래","그룹 내부라도 의심 패턴이면 STR 대상","투자 목적으로 위장한 자금세탁 가능성","주력 금융회사만으로는 전체 패턴 파악 한계","복합 금융그룹 내 자금세탁 탐지","의심거래 참고사례","다단계 자금 이동의 종합적 모니터링"
582,"합법적 사업자라도 업종 특성상 현금 거래 비중이 높은 경우 지속적 강화 모니터링이 필요","AI 오류보다는 업종별 위험 특성 고려","일반 모니터링으로는 현금 거래 패턴 관리 부족","업계 전반 재평가보다는 개별 고객 관리","고객 문의는 Tipping Off 위험","업종별 맞춤형 모니터링","AI 기반 거래 모니터링","업종 특성을 고려한 위험 평가"
583,"정당한 절차라도 개인 계좌 경유는 비정상적 자금 이동이므로 STR 보고 및 추가 확인 필요","이사회 승인만으로는 개인 계좌 경유 정당화 불가","법무팀 검토도 개인 계좌 경유 의심 해소 불가","해외 송금 규정은 별도 검토 사안","직접 문의는 Tipping Off 위험","기업 자금의 개인 계좌 경유 의심","의심거래 참고사례","정당한 업무라도 비정상적 경로 시 STR"
584,"고령자 보호가 최우선이며, 현금 인출의 즉시성과 가상자산의 복잡성을 순차적으로 고려","시간순 처리는 위험도 고려 부족","금액 크기보다는 취약 계층 보호 우선","현금 인출도 중요하지만 고령자가 더 취약","가상자산은 복잡하지만 고령자 보호가 우선","취약 계층 보호 우선순위","의심거래 대응 매뉴얼","다중 의심거래 발생 시 우선순위 판단"
585,"국경간 거래에서 양국 기준이 다를 때는 더 엄격한 기준(한국)을 적용하여 정보 제공 의무 이행","상대국 기준 우선은 한국 법규 위반","평균값 적용은 법적 근거 없음","국제 표준보다는 국내법 우선","거래 금액 조정은 회피 행위","국경간 트래블 룰 기준 충돌","가상자산 트래블 룰","국경간 규제 차이 시 엄격한 기준 적용"
586,"신기술 악용 시도는 STR 보고하고 기존 절차를 강화하여 수동 검증 추가하는 것이 현실적","전면 중단은 과도한 조치","서류 요구만으로는 딥페이크 대응 한계","전문 기관 의뢰는 시간 소요","직접 문의는 Tipping Off 위험","신기술 악용 신원확인 시도 대응","디지털 금융범죄 대응","신기술 악용 시도의 STR 전환"
587,"동명이인이라도 제재 대상자와의 유사성과 현금 거래 규모를 고려한 강화된 실사 및 STR 검토 필요","제재 대상자가 아니라도 유사성 위험 존재","제재 당국 문의는 시간 소요로 부적절","거래 규모 축소는 근본적 해결책 아님","고객 설명은 불필요한 의심 증폭","제재 대상자 동명이인 관리","국제 제재 대응","제재 리스트 관련 유사 위험 관리"
588,"시스템 통합 과정에서 모니터링 공백 방지를 위해 기존 시스템 병행 운영이 최적","일원화는 급작스러운 변화로 위험","외부 위탁은 보안상 부적절","수동 모니터링은 효율성 저하","소급 점검으로는 실시간 대응 불가","시스템 통합 시 모니터링 연속성","시스템 리스크 관리","합병 시 AML 시스템 통합 관리"
589,"기업 관계보다 법적 의무가 우선이므로 STR 보고 후 CEO와 별도 면담으로 상황 설명","기업 관계를 이유로 STR 기준 완화 불가","평판 리스크보다 법적 의무 우선","내부 보고로는 법적 의무 불이행","다른 금융회사 이관 권유는 부적절","VIP 고객 STR 시 관계 관리","고객 관계 관리","고위험 고객과의 관계 관리 원칙"
590,"비대면 환경에서는 디지털 흔적을 활용한 새로운 의심 징후 개발이 필요","기존 기준은 대면 환경에 특화됨","비대면이 저위험이라는 가정은 틀림","영상통화로는 모든 의심 징후 확인 한계","추가 서류만으로는 근본적 해결 불가","비대면 거래 모니터링","디지털 전환 대응","비대면 환경 의심거래 탐지 체계"
591,"내부 이해상충 시 독립성 보장을 위해 해당 임원을 제외한 별도 팀에서 STR 검토","내부 조사로는 객관성 확보 어려움","외부 위탁은 정보 보안상 부적절","임원 권한을 이유로 기준 완화 불가","즉시 규제당국 신고는 과도한 조치","내부 이해상충 시 독립성 보장","조직 윤리 기준","임원 가족 관련 의심거래 처리"
592,"거래 기간이나 수익성과 무관하게 STR 보고 의무는 동일하게 적용","거래 이력을 이유로 기준 완화 불가","VIP라도 STR 기준 동일 적용","고객 관계보다 법적 의무 우선","수익성을 이유로 보고 연기 불가","VIP 고객 STR 원칙","고객 관계 관리","장기 거래 고객의 STR 동일 적용"
593,"새로운 결제 수단에 대해서는 보수적 접근으로 기존 현금에 준하여 처리하는 것이 안전","CBDC도 화폐 성격상 현금에 준함","디지털 특성만으로 제외는 위험","거래 보류는 과도한 조치","별도 분류보다는 기존 기준 준용","CBDC 도입 시 CTR/STR 적용","중앙은행 디지털화폐","신규 결제 수단의 보수적 접근"
594,"국가기관 요청이라도 법적 근거 확인이 우선이므로 상급 기관 또는 법무팀 검토 후 결정","국가기관이라도 무조건 제공은 부적절","별도 정보 요구는 STR과 다른 영역","법적 근거 없이는 정보 제공 불가","고객 동의만으로는 법적 근거 부족","국가기관 정보 요구 대응","정보 보호 원칙","국가기관 협조 요청 시 법적 근거 확인"
595,"정보 유출 위기 시 FIU와 관련 기관에 즉시 신고 후 고객 보호 조치가 최우선","사실 은폐는 더 큰 문제 야기","홍보팀 중심으로는 근본적 해결 불가","법적 책임 회피보다는 고객 보호 우선","개별 통지는 추가 위험 증가","STR 정보 유출 위기 대응","정보보안 사고 대응","STR 정보 유출 시 종합적 위기 관리"
596,"STR 관련 정보는 기밀성이 절대적이므로 경쟁사 정보라도 절대 활용 금지","영업 기밀 이전에 STR 정보 보호가 우선","법적 위험보다는 정보 보호 원칙","정보 중단 요구만으로는 부족","자체 개선도 중요하지만 정보 보호 우선","STR 정보의 기밀성","정보 보호 원칙","경쟁사 STR 정보 취득 시 대응"
597,"신기술 대응을 위해서는 규제당국과 협력하여 가이드라인을 선제적으로 개발하는 것이 효과적","기존 체계로는 신기술 대응 한계","전문가 영입만으로는 체계적 대응 부족","외부 협력보다는 규제당국 협력 우선","정보 공유보다는 가이드라인 개발 우선","신기술 자금세탁 대응","미래형 AML 체계","신기술 시대 STR 체계 혁신"
598,"NGO라도 자금세탁 방지 원칙은 동일하게 적용되므로 일반 기준으로 STR 검토","긴급성보다는 AML 원칙 우선","정부 승인 여부와 AML은 별개","투명성만으로는 자금세탁 방지 불충분","공개성만으로는 AML 의무 면제 불가","NGO 거래의 AML 적용","사회적 책임과 AML","공익 목적 거래의 STR 기준"
599,"국제 공조는 중요하지만 데이터 보호를 위해 이용 목적과 보호 조치 확약 후 제한적 제공","데이터 보호 포기는 주권 침해","무조건 제공은 데이터 오남용 위험","국제기구 중재는 시간 소요","상호주의만으로는 데이터 보호 부족","국경간 STR 정보 공유","데이터 주권 보호","국제 공조와 데이터 보호의 균형"
600,"STR 본래 목적은 의심 신고이므로 입건 결과와 무관하다는 교육이 조직 문화 개선에 핵심","엄격한 기준은 소극적 태도 강화","인센티브는 STR 본질과 부합하지 않음","피드백 체계도 중요하지만 목적 이해가 우선","면책보다는 STR 목적 이해가 중요","STR 보고 문화 정착","조직 학습 문화","적극적 STR 보고 문화 조성"
