id,subject_id,subject_name,source_type,difficulty,points,question_type,question_text,option_1,option_2,option_3,option_4,option_5,correct_answer,created_date
1,3,고액현금거래·의심거래보고,C,중상,10,situation_application,"A카지노에서 고객 갑이 하루 동안 다음과 같은 거래를 했습니다: 오전 10시 현금 500만원으로 칩 구매, 오후 2시 현금 600만원으로 칩 구매, 오후 6시 칩 400만원을 현금으로 환전. 이 경우 CTR 보고에 대한 올바른 판단은?","카지노는 1거래일 합산 기준이 아니므로 CTR 보고 불필요","입금 1,100만원은 CTR 대상이지만 출금 400만원은 별도 판단","입금과 출금을 상계하여 700만원이므로 CTR 보고 불필요","각 거래가 모두 1천만원 미만이므로 CTR 보고 불필요","카지노는 1건당 기준이므로 모든 거래가 CTR 보고 불필요",5,2025-01-17
2,3,고액현금거래·의심거래보고,C,중상,15,complex_judgment,"금융회사 직원이 다음 상황을 발견했습니다: 20대 대학생이 3일 연속 ATM에서 현금 900만원씩 인출하고, 인출 시마다 '1천만원이 넘으면 신고된다고 들었는데 맞나요?'라고 문의. 이 상황에서 금융회사의 올바른 대응은?","CTR 기준 미달이므로 특별한 조치 불필요","3일간 합산하여 2,700만원이므로 CTR 보고 실시","구조화 거래 의심으로 STR 보고 검토 및 CDD 재확인","단순 문의이므로 고객 교육만 실시","내부 모니터링 강화 후 추가 거래 관찰",3,2025-01-17
3,3,고액현금거래·의심거래보고,C,중상,5,concept_application,"가상자산사업자와의 현금 거래 시 CTR 보고 의무에 대한 올바른 설명은?","가상자산사업자는 금융회사이므로 CTR 보고 면제","자금세탁 위험이 높아 CTR 보고 면제 대상에서 제외","100만원 이상 거래 시에만 CTR 보고 의무","가상자산 특성상 CTR 보고 불가능","고객이 동의한 경우에만 CTR 보고",2,2025-01-17
4,3,고액현금거래·의심거래보고,C,중상,10,multi_condition,"보험회사에서 고객이 거액 일시납 보험료 3,000만원을 현금으로 납입한 후, 1주일 뒤 보험 계약을 해지하고 현금 2,900만원을 환급받는 경우의 올바른 대응은?","보험 업무의 정상적인 절차이므로 CTR 보고만 실시","단기 해지는 정상적이므로 특별한 조치 불필요","자금세탁 의심 징후로 STR 보고 검토 및 자금 출처 확인","고객의 투자 손실이므로 동정적 서비스 제공","내부 규정에 따른 위약금 부과 안내",3,2025-01-17
5,3,고액현금거래·의심거래보고,C,중상,10,practical_application,"STR 보고 과정에서 고객이 '무엇 때문에 계좌가 모니터링되고 있느냐'고 강하게 항의하는 상황에서 직원의 올바른 대응은?","STR 보고 사실을 정중하게 설명하고 이해 구하기","보안상 말씀드릴 수 없다고 명확하게 거절","일반적인 금융회사 보안 절차라고 모호하게 설명","상급자에게 즉시 보고 후 대응 방법 문의","고객 만족을 위해 모니터링 중단 검토",3,2025-01-17
6,3,고액현금거래·의심거래보고,C,중상,15,latest_case,"고령자가 심야 시간(오전 2시)에 모바일 앱을 통해 가상자산 거래소로 1,500만원을 이체한 후, 30분 뒤 가상자산을 해외 거래소로 전송하는 패턴이 3일 연속 발견된 경우의 종합적 대응 방안은?","정상적인 투자 활동이므로 고객 편의 제공","고령자 대상 금융사기 가능성을 고려한 STR 보고 및 고객 안전 확인","거래 시간이 특이하므로 시스템 이용 교육 제공","가상자산 투자 위험성에 대한 안내","해외 송금 규정 위반 여부 확인",2,2025-01-17
7,3,고액현금거래·의심거래보고,C,중상,5,basic_procedure,"CTR 보고서 작성 시 반드시 포함되어야 하는 핵심 정보가 아닌 것은?","현금 거래 발생 일자 및 장소","거래 상대방의 신원 정보","현금 지급 또는 영수의 구체적 내용","거래의 자금세탁 의심 여부 판단","금융회사의 명칭 및 소재지",4,2025-01-17
8,3,고액현금거래·의심거래보고,C,중상,10,risk_assessment,"다수의 미성년자 명의 계좌에서 동일한 성인이 대리인으로 나타나 각각 900만원씩 현금을 인출하는 경우, 가장 적절한 초기 대응은?","미성년자 보호를 위한 보호자 신원 확인 강화","각 계좌별로 1천만원 미만이므로 정상 처리","구조화 거래 및 명의 도용 의심으로 거래 중단 및 STR 검토","미성년자 금융교육 안내 제공","법정대리인 동의서 재확인",3,2025-01-17
9,3,고액현금거래·의심거래보고,C,중상,10,system_operation,"금융회사의 거래 모니터링 시스템에서 STR 경보가 발생했으나, 담당 직원이 검토 결과 정상 거래로 판단한 경우의 올바른 절차는?","시스템 경보 무시하고 정상 처리","검토 결과를 문서화하고 STR 보고하지 않음","시스템 설정 오류로 간주하고 경보 해제","반드시 STR 보고 (시스템 경보는 절대적 기준)","상급자 검토 후 최종 판단",2,2025-01-17
10,3,고액현금거래·의심거래보고,C,중상,15,integrated_analysis,"환전업자가 운영하는 환전소에서 외국인 관광객들이 조직적으로 미화 현금을 원화로 환전한 후, 즉시 은행 ATM에서 현금을 인출하여 다른 환전소에서 다시 달러로 환전하는 패턴이 발견된 경우의 종합적 대응은?","관광객의 정상적인 환전 활동으로 간주","환율 차익을 노린 합법적 거래로 판단","자금세탁 또는 환치기 의심으로 STR 보고 및 관련 기관 신고","외국인 대상 금융 서비스 개선 방안 검토","환전업자와의 거래 관계 재검토",3,2025-01-17
11,3,고액현금거래·의심거래보고,C,중상,5,regulation_understanding,"STR 보고 시 '지체 없이' 보고해야 한다는 법적 요구사항의 구체적 기준은?","거래 발생 즉시 당일 내 보고","의심 인지 후 24시간 이내 보고","보고 대상 결정일로부터 3영업일 이내 보고","의심 거래 종료 후 1주일 이내 보고","FIU 요청 시까지 보고 유예 가능",3,2025-01-17
12,3,고액현금거래·의심거래보고,C,중상,10,employee_training,"금융회사 신입사원이 고객의 STR 보고 관련 문의에 대해 '저희는 의심스러운 거래를 정부에 보고하고 있습니다'라고 답변한 경우, 이에 대한 올바른 평가는?","고객에게 정직한 답변을 한 모범 사례","투명한 고객 서비스의 좋은 예시","Tipping Off 위반으로 즉시 교육 및 징계 검토","고객 이해도 향상을 위한 적절한 설명","규정에 대한 정확한 안내로 평가",3,2025-01-17
13,3,고액현금거래·의심거래보고,C,중상,15,cross_system_coordination,"보험회사 내부 직원의 횡령 사건이 발견되어 수사기관에 고발 조치한 경우, 자금세탁방지 관점에서 추가로 고려해야 할 사항은?","수사기관 신고로 충분하므로 추가 조치 불필요","내부 감사 강화 및 재발 방지책 마련","횡령 관련 거래에 대한 별도 STR 보고 검토","피해 금액 산정 및 보상 방안 마련","언론 대응 및 평판 관리 방안 수립",3,2025-01-17
14,3,고액현금거래·의심거래보고,C,중상,5,exception_rules,"CTR 보고 대상 거래 합산 시 제외되는 거래가 아닌 것은?","100만원 이하 무통장 입금","100만원 이하 선불카드 충전","은행 지로를 통한 공과금 납부","150만원 외화 매입 거래","법원 공탁금 납부",4,2025-01-17
15,3,고액현금거래·의심거래보고,C,중상,10,quality_control,"CTR 보고서 작성 시 오류율을 줄이기 위한 가장 중요한 내부 통제 방안은?","보고 건수 증대를 통한 경험 축적","자동화 시스템 도입으로 인적 오류 최소화","3단계 검증 체계 구축 및 지속적 교육","외부 전문기관 위탁을 통한 품질 관리","FIU 피드백 반영을 통한 지속적 개선",2,2025-01-17
16,3,고액현금거래·의심거래보고,C,중상,15,business_continuity,"금융회사의 거래 모니터링 시스템이 시스템 장애로 3일간 중단된 경우, STR 보고 업무의 연속성 확보를 위한 올바른 대응은?","시스템 복구 후 일괄 처리로 충분","장애 기간 중 수동 모니터링 실시 및 의심 거래 별도 관리","장애 사실을 FIU에 신고하고 보고 유예 요청","고객 거래 제한을 통한 위험 최소화","외부 시스템 임시 도입으로 업무 연속성 확보",2,2025-01-17
17,3,고액현금거래·의심거래보고,C,중상,5,customer_protection,"고객이 CTR 보고로 인해 불이익을 받을까 걱정한다며 현금 거래를 꺼리는 경우, 직원의 올바른 안내는?","CTR은 단순 통계 목적이므로 걱정 불필요","정당한 거래라면 전혀 문제없다고 안심시키기","CTR 보고 사실을 고객에게 미리 안내","현금 대신 다른 결제 수단 사용 권유","고객 개인정보 보호 방침에 따른 관리 안내",2,2025-01-17
18,3,고액현금거래·의심거래보고,C,중상,10,enhanced_monitoring,"STR 보고된 고객이 계속해서 정상적인 금융 거래를 요청하는 경우, 금융회사의 적절한 후속 조치는?","STR 보고 고객과의 모든 거래 중단","강화된 모니터링 하에서 정상적 서비스 제공","고객에게 STR 보고 사실을 설명하고 협조 요청","수사기관 조사 결과까지 거래 보류","내부 법무팀 검토 후 거래 승인 절차 도입",2,2025-01-17
19,3,고액현금거래·의심거래보고,C,중상,15,regulatory_compliance,"공공단체가 업무용 자금으로 1,500만원을 현금 인출하는 경우, 2019년 규정 변경을 고려한 올바른 처리 방법은?","공공단체는 여전히 CTR 면제 대상이므로 보고 불필요","국가기관이 아닌 공공단체는 CTR 보고 대상으로 변경되어 보고 필요","업무용 자금은 일상적 거래로 간주하여 면제","공공성을 고려하여 금융회사 재량으로 판단","고객 요청 시에만 CTR 보고 실시",2,2025-01-17
20,3,고액현금거래·의심거래보고,C,중상,10,information_security,"STR 보고서가 실수로 일반 직원의 이메일로 전송된 사실이 발견된 경우, 즉시 취해야 할 조치의 우선순위는?","이메일 회수 → 정보 보안팀 보고 → 관련 직원 교육 → 재발 방지책 마련","FIU 신고 → 이메일 삭제 → 보안 시스템 점검 → 직원 징계","관련 직원 면담 → 보안 절차 재검토 → 이메일 회수 → 사고 보고서 작성","즉시 STR 보고 취소 → 새로운 보고서 작성 → 보안 교육 실시","경영진 보고 → 외부 보안 업체 의뢰 → 전 직원 보안 교육 → 시스템 교체",1,2025-01-17

question_id,correct_reason,wrong_reason_1,wrong_reason_2,wrong_reason_3,wrong_reason_4,key_point,reference,learning_objective
1,"카지노사업자는 일반 금융회사와 달리 1거래일 합산이 아닌 1건당 지급 또는 영수 금액 기준으로 CTR을 판단하므로, 각 거래가 모두 1천만원 미만이면 CTR 보고 불필요","카지노도 일반 금융회사와 동일하게 1거래일 합산 기준 적용","입금과 출금은 방향이 다르므로 별도 판단하지만 카지노는 1건당 기준","상계 개념은 CTR에 적용되지 않으며 카지노는 1건당 기준","각 거래 금액을 개별 검토하는 것은 맞지만 카지노 특성 미반영","카지노사업자의 CTR 보고 기준 특성","특정금융정보법 시행령","카지노사업자의 차별화된 CTR 기준 이해"
2,"연속적인 기준 금액 미만 거래와 CTR 회피 의도가 명확한 문의는 전형적인 구조화 거래 의심 사례로 STR 보고 검토 및 CDD 재확인 필요","개별 거래가 기준 미달이라도 의도적 회피는 의심거래","합산 기준은 동일 거래일 내 적용이므로 3일간 합산 불가","단순 문의로 치부하기에는 의심 정황이 명확","관찰만으로는 적극적 대응 부족","구조화 거래(Structuring) 탐지 및 대응","의심거래 참고사례","CTR 회피 목적 분할 거래의 STR 전환"
3,"가상자산사업자는 자금세탁 위험이 높은 업권으로 분류되어 다른 금융회사와의 거래 시 CTR 보고 면제 대상에서 제외됨","금융회사라도 위험도에 따라 면제 여부 달라짐","CDD 기준과 CTR 기준은 별개","현금 거래의 물리적 특성상 보고 가능","고객 동의와 무관하게 법정 의무사항","고위험 업권의 CTR 면제 제외","특정금융정보법 시행령","가상자산사업자 등 고위험 업권의 특별 취급"
4,"거액 현금 보험료 납입 후 단기 해지는 자금 출처 은닉 또는 자금세탁의 전형적 의심 징후로 STR 보고 검토 및 자금 출처 확인 필요","정상 업무라도 의심 징후 존재 시 STR 검토 필요","단기 해지라도 자금세탁 수단으로 악용 가능","의심 징후를 놓치고 고객 서비스에만 집중","위약금은 자금세탁 의심과 별개 문제","보험 상품을 이용한 자금세탁 의심 징후","의심거래 참고사례","보험업 특성을 고려한 의심거래 식별"
5,"STR 보고 사실은 절대 누설할 수 없으므로 일반적인 보안 절차라고 모호하게 설명하는 것이 적절","보고 사실 누설은 형사처벌 대상","명확한 거절은 오히려 의심 증폭 가능","상급자도 동일한 원칙 적용","고객 만족보다 법적 의무가 우선","Tipping Off 금지 원칙과 실무 대응","특정금융정보법 제8조","STR 관련 고객 응대 시 누설 금지 준수"
6,"심야 시간 고령자의 가상자산 거래는 보이스피싱이나 금융사기 가능성이 높으므로 STR 보고 및 고객 안전 확인 필요","정상 투자로 보기에는 의심 정황이 너무 명확","시스템 교육보다는 사기 가능성 검토가 우선","투자 위험성 안내는 부차적 문제","해외 송금 규정은 별도 검토 사안","고령자 대상 금융사기 의심 징후","의심거래 참고사례","고령자 보호를 위한 의심거래 식별"
7,"CTR은 객관적 현금 거래 보고이므로 자금세탁 의심 여부 판단은 포함하지 않음 (이는 STR의 영역)","거래 일시는 CTR 필수 정보","거래 상대방 정보는 CTR 필수 요소","거래 내용은 분석을 위한 필수 정보","금융회사 정보는 보고 주체 식별을 위한 필수 요소","CTR과 STR의 본질적 차이","특정금융정보법 시행령 별지서식","CTR 보고서 작성 시 필수 포함 사항"
8,"동일 대리인이 다수 미성년자 계좌에서 기준 금액 미만으로 분할 인출하는 것은 구조화 거래 및 명의 도용 의심","보호자 확인만으로는 근본적 의심 해소 불가","개별 기준 미달이라도 전체적 패턴은 의심","교육 안내는 의심 해소 후 진행","법정대리인 동의는 이미 확인된 사항","미성년자 명의 계좌 악용 방지","의심거래 참고사례","명의 도용 및 구조화 거래 복합 상황 대응"
9,"시스템 경보 발생 시 담당자가 검토하여 정상으로 판단했다면 그 근거를 문서화하고 STR 보고하지 않는 것이 올바른 절차","시스템은 보조 수단이므로 무시 불가","검토 결과 문서화는 필수이지만 보고는 선택","시스템 오류 가능성도 있지만 검토 과정 필요","시스템 경보가 절대적 기준은 아님","시스템 경보와 인적 판단의 조화","AML 내부통제 기준","거래 모니터링 시스템 운영 원칙"
10,"조직적이고 반복적인 환전 패턴은 환치기나 자금세탁 의심이므로 STR 보고 및 관련 기관 신고 필요","조직적 패턴은 정상 관광 활동을 넘어섬","환율 차익 목적이라도 자금세탁 수단 가능성","서비스 개선보다는 의심 행위 대응이 우선","거래 관계 재검토는 부차적 문제","환전업 관련 자금세탁 의심 징후","의심거래 참고사례","환전업 특성을 고려한 복합적 의심거래 대응"
11,"STR 보고는 의심스러운 거래로 보고 대상 결정일로부터 3영업일 이내 보고가 구체적 기준","당일 보고는 현실적으로 불가능","24시간 기준은 법적 근거 없음","거래 종료 후 1주일은 너무 늦음","FIU 요청까지 유예는 법적 의무 위반","STR 보고 시한의 구체적 기준","특정금융정보법 감독규정","STR 보고 시한에 대한 정확한 이해"
12,"STR 보고 사실을 직접적으로 언급하는 것은 명백한 Tipping Off 위반으로 즉시 교육 및 징계 검토 필요","정직함보다 법적 의무 준수가 우선","투명성보다 누설 금지가 우선","Tipping Off는 형사처벌 대상","정확한 안내라도 누설 금지 위반","Tipping Off 금지 위반 사례","특정금융정보법 제8조","신입사원 교육 시 누설 금지 철저 교육"
13,"내부 직원 횡령 사건의 수사기관 신고와 별개로 자금세탁 관련성을 검토하여 STR 보고해야 함","수사기관 신고만으로는 AML 의무 완료되지 않음","내부 감사는 별도 진행 사안","피해 산정은 STR과 별개 문제","평판 관리보다 법적 의무 우선","수사기관 신고와 STR 보고의 독립성","특정금융정보법 제4조","내부 사건의 STR 전환 필요성"
14,"150만원 외화 매입은 100만원 초과이므로 CTR 합산 제외 대상이 아님","100만원 이하 무통장 입금은 제외 대상","100만원 이하 선불카드는 제외 대상","은행 지로 공과금은 제외 대상","법원 공탁금은 제외 대상","CTR 합산 제외 거래의 정확한 기준","특정금융정보법 시행령","CTR 합산 시 제외 거래 정확한 식별"
15,"CTR 오류율 감소를 위해서는 자동화 시스템 도입으로 인적 오류를 최소화하는 것이 가장 효과적","경험 축적만으로는 한계 존재","검증 체계도 중요하지만 자동화가 더 효과적","외부 위탁은 보안상 부적절","피드백 반영은 사후 조치","CTR 보고 품질 관리 방안","FIU 제도이행평가 기준","CTR 오류율 최소화를 위한 시스템적 접근"
16,"시스템 장애 시에도 STR 의무는 지속되므로 수동 모니터링 실시 및 의심 거래 별도 관리 필요","일괄 처리로는 실시간 모니터링 의무 위반","FIU 신고보다는 자체 대응이 우선","거래 제한은 과도한 조치","외부 시스템은 보안상 위험","STR 업무의 연속성 확보","AML 내부통제 기준","시스템 장애 시 업무 연속성 관리"
17,"CTR은 객관적 보고 사항이므로 정당한 거래라면 고객에게 불이익이 없다고 안심시키는 것이 적절","통계 목적이라는 설명은 부정확","걱정이 있어도 정당성 강조가 중요","CTR 보고 사실은 미리 안내하지 않음","결제 수단 변경 권유는 부적절","CTR에 대한 고객 불안 해소","특정금융정보법","CTR 관련 고객 응대 및 불안 해소"
18,"STR 보고된 고객이라도 정당한 거래는 지속 가능하되 강화된 모니터링 하에서 서비스 제공","STR 보고가 거래 중단 사유는 아님","STR 사실 설명은 누설 금지 위반","수사 결과까지 보류는 과도한 조치","법무팀 검토는 불필요한 절차","STR 보고 후 고객 관리 방안","AML 내부통제 기준","STR 고객에 대한 지속적 서비스와 모니터링"
19,"공공단체는 2019년 7월 1일부터 CTR 보고 면제 대상에서 제외되어 보고 필요","공공단체 면제는 2019년 폐지됨","국가기관과 공공단체 구분 필요","업무용이라도 면제 규정 변경됨","고객 요청과 무관한 법정 의무","2019년 공공단체 면제 폐지","특정금융정보법 개정사항","공공단체 CTR 면제 폐지에 따른 처리 변경"
20,"정보 유출 사고 시 즉시 이메일 회수 후 보안팀 보고, 관련자 교육, 재발 방지책 순으로 신속 대응","회수가 최우선이지만 FIU 신고는 부차적","면담보다는 즉시 회수가 우선","STR 취소는 불필요한 조치","경영진 보고보다 실무적 대응 우선","STR 정보 보안 사고 대응","정보보호 관련 규정","STR 정보 유출 시 신속한 대응 체계"
